Age Group,Sex (CH),Sex,Year,Admissions
40 - 44,男,M,2023,815.0
45 - 49,女,F,2023,357.0
45 - 49,男,M,2023,794.0
50 - 54,女,F,2023,332.0
50 - 54,男,M,2023,569.0
55 - 59,女,F,2023,174.0
55 - 59,男,M,2023,406.0
≧ 60,女,F,2023,248.0
≧ 60,男,M,2023,669.0
14 - 17,女,F,2024,15.0
14 - 17,男,M,2024,104.0
18 - 20,女,F,2024,31.0
18 - 20,男,M,2024,195.0
21 - 24,女,F,2024,104.0
21 - 24,男,M,2024,396.0
25 - 29,女,F,2024,298.0
25 - 29,男,M,2024,739.0
30 - 34,女,F,2024,464.0
30 - 34,男,M,2024,910.0
35 - 39,女,F,2024,542.0
35 - 39,男,M,2024,984.0
40 - 44,女,F,2024,475.0
40 - 44,男,M,2024,846.0
45 - 49,女,F,2024,419.0
45 - 49,男,M,2024,862.0
50 - 54,女,F,2024,367.0
50 - 54,男,M,2024,666.0
55 - 59,女,F,2024,230.0
55 - 59,男,M,2024,431.0
≧ 60,女,F,2024,259.0
≧ 60,男,M,2024,764.0
